WK_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,nr_migr,nr_dutch,p_w_migr,p_nw_migr,p_dutch,p_migr
WK036300,4295,3040,0.154,0.5760000000000001,0.128,0.2,1400,715,34.5,0.4,0.35,12292.0,448,468.15999999999997,2571.84,1751.0400000000002,389.12,2115,2180,0.3259604190919674,0.16647264260768335,0.5075669383003493,0.49243306169965073
WK036301,4120,2915,0.12300000000000001,0.552,0.142,0.3,1570,680,36.7,0.73,0.57,7219.0,452,358.545,2556.455,1609.0800000000002,413.92999999999995,2250,1870,0.38106796116504854,0.1650485436893204,0.4538834951456311,0.5461165048543689
WK036302,6370,4105,0.083,0.39,0.319,0.5,2110,685,59.5,0.57,0.45,14234.0,804,340.71500000000003,3764.285,1600.95,1309.4950000000001,2795,3575,0.33124018838304553,0.1075353218210361,0.5612244897959183,0.4387755102040816
WK036303,5380,3405,0.087,0.41200000000000003,0.28300000000000003,0.5,1725,690,63.1,0.64,0.52,10369.0,785,296.23499999999996,3108.765,1402.8600000000001,963.6150000000001,2415,2965,0.32063197026022305,0.12825278810408922,0.5511152416356877,0.44888475836431224
WK036304,9670,6435,0.124,0.527,0.17300000000000001,0.4,2655,1465,38.3,1.07,0.71,13603.0,492,797.9399999999999,5637.06,3391.2450000000003,1113.255,4120,5550,0.2745604963805584,0.1514994829369183,0.5739400206825233,0.42605997931747674
WK036305,9310,5720,0.127,0.489,0.201,0.6,2300,1660,38.1,0.81,0.55,17012.0,492,726.44,4993.5599999999995,2797.08,1149.72,3960,5350,0.24704618689581095,0.17830290010741137,0.5746509129967776,0.4253490870032223
WK036306,19420,13000,0.13699999999999998,0.5429999999999999,0.163,0.3,5235,2735,40.3,0.95,0.83,23271.0,432,1780.9999999999998,11219.0,7058.999999999999,2119.0,7970,11450,0.26956745623069,0.14083419155509783,0.5895983522142122,0.41040164778578786
WK036307,7255,4645,0.1,0.44299999999999995,0.23800000000000002,0.4,2190,900,48.8,0.65,0.56,13048.0,576,464.5,4180.5,2057.7349999999997,1105.51,3090,4165,0.3018607856650586,0.12405237767057202,0.5740868366643694,0.4259131633356306
WK036308,7740,4585,0.109,0.473,0.225,0.4,2060,1320,42.7,0.92,0.78,9970.0,525,499.765,4085.235,2168.705,1031.625,3380,4360,0.2661498708010336,0.17054263565891473,0.5633074935400517,0.43669250645994834
WK036309,13245,7945,0.13699999999999998,0.528,0.16899999999999998,0.4,2790,3185,32.3,1.3,0.99,13422.0,402,1088.465,6856.535,4194.96,1342.705,5975,7270,0.21064552661381652,0.2404681011702529,0.5488863722159305,0.45111362778406944
WK036310,175,135,0.385,0.77,0.071,,50,35,,28.99,20.1,9.0,,51.975,83.025,103.95,9.584999999999999,85,90,0.2857142857142857,0.2,0.5142857142857142,0.4857142857142857
WK036311,860,735,0.166,0.784,0.022000000000000002,,390,280,,7.7,7.2,120.0,,122.01,612.99,576.24,16.17,670,190,0.45348837209302323,0.32558139534883723,0.22093023255813954,0.7790697674418605
WK036312,2395,1265,0.08199999999999999,0.265,0.39799999999999996,0.5,535,310,,0.92,0.33,7301.0,529,103.72999999999999,1161.27,335.225,503.46999999999997,845,1550,0.22338204592901878,0.12943632567849686,0.6471816283924844,0.35281837160751567
WK036313,10785,6190,0.172,0.5670000000000001,0.128,0.4,1980,3465,28.3,1.41,1.37,7893.0,344,1064.6799999999998,5125.32,3509.7300000000005,792.32,5445,5340,0.1835883171070932,0.32127955493741306,0.4951321279554937,0.5048678720445062
WK036314,13165,7975,0.145,0.509,0.159,0.3,3040,3345,32.5,0.53,0.47,27816.0,356,1156.375,6818.625,4059.275,1268.025,6385,6780,0.23091530573490315,0.2540827952905431,0.5150018989745537,0.48499810102544627
WK036315,2480,1275,0.10300000000000001,0.426,0.21,0.5,485,655,,0.57,0.52,4770.0,422,131.32500000000002,1143.675,543.15,267.75,1140,1340,0.19556451612903225,0.26411290322580644,0.5403225806451613,0.4596774193548387
WK036316,8310,5145,0.142,0.517,0.166,0.3,1945,1800,35.3,0.42,0.36,23174.0,369,730.5899999999999,4414.41,2659.965,854.07,3745,4565,0.23405535499398314,0.21660649819494585,0.549338146811071,0.450661853188929
WK036317,4640,2890,0.10400000000000001,0.475,0.21,0.4,1215,745,38.8,0.26,0.22,21352.0,446,300.56,2589.44,1372.75,606.9,1960,2680,0.26185344827586204,0.16056034482758622,0.5775862068965517,0.4224137931034483
WK036318,6525,3870,0.13,0.5,0.177,0.3,1470,1540,36.2,0.27,0.25,25877.0,380,503.1,3366.9,1935.0,684.99,3010,3515,0.22528735632183908,0.23601532567049807,0.5386973180076629,0.46130268199233715
WK036319,7025,4510,0.163,0.5770000000000001,0.12,0.3,1540,2180,30.9,0.29,0.25,28154.0,350,735.13,3774.87,2602.2700000000004,541.1999999999999,3720,3305,0.21921708185053382,0.3103202846975089,0.47046263345195727,0.5295373665480427
WK036320,7460,4585,0.111,0.45799999999999996,0.22899999999999998,0.4,1985,1020,42.2,0.35,0.34,22267.0,521,508.935,4076.065,2099.93,1049.965,3005,4455,0.2660857908847185,0.13672922252010725,0.5971849865951743,0.40281501340482573
WK036321,7915,4830,0.094,0.44299999999999995,0.239,0.3,2160,1115,42.1,0.31,0.3,26562.0,447,454.02,4375.98,2139.6899999999996,1154.37,3275,4640,0.27289955780164243,0.1408717624763108,0.5862286797220467,0.41377132027795327
WK036322,1835,1020,0.09699999999999999,0.435,0.3,0.5,535,285,,0.22,0.22,8481.0,924,98.93999999999998,921.0600000000001,443.7,306.0,820,1015,0.29155313351498635,0.1553133514986376,0.553133514986376,0.44686648501362397
WK036323,3845,2650,0.045,0.514,0.244,1.1,1085,1430,56.6,2.17,2.12,1815.0,631,119.25,2530.75,1362.1000000000001,646.6,2515,1330,0.28218465539661897,0.3719115734720416,0.3459037711313394,0.6540962288686606
WK036324,14755,9795,0.13,0.524,0.174,0.3,4035,2835,37.8,0.68,0.63,23248.0,423,1273.3500000000001,8521.65,5132.58,1704.33,6870,7885,0.2734666214842426,0.19213825821755337,0.534395120298204,0.465604879701796
WK036325,12375,7885,0.13,0.526,0.17600000000000002,0.3,3040,2660,36.1,0.54,0.51,24092.0,396,1025.05,6859.95,4147.51,1387.7600000000002,5700,6675,0.24565656565656566,0.21494949494949495,0.5393939393939394,0.46060606060606063
WK036326,8195,4860,0.182,0.618,0.105,0.3,1565,2830,26.1,0.39,0.35,23233.0,376,884.52,3975.48,3003.48,510.29999999999995,4395,3800,0.19097010372178158,0.34533251982916413,0.4636973764490543,0.5363026235509457
WK036327,5830,3605,0.09699999999999999,0.433,0.24600000000000002,0.3,1425,1120,40.8,0.45,0.37,15771.0,474,349.68499999999995,3255.315,1560.965,886.83,2545,3285,0.2444253859348199,0.19210977701543738,0.5634648370497427,0.4365351629502573
WK036328,10855,6490,0.16899999999999998,0.561,0.152,0.3,2040,3775,30.4,0.75,0.72,15027.0,388,1096.81,5393.1900000000005,3640.8900000000003,986.48,5815,5040,0.1879318286503915,0.3477660064486412,0.4643021649009673,0.5356978350990327
WK036329,10185,5855,0.158,0.568,0.15,0.3,1710,3765,29.4,0.61,0.59,17153.0,380,925.09,4929.91,3325.64,878.25,5475,4710,0.16789396170839468,0.3696612665684831,0.46244477172312226,0.5375552282768777
WK036330,9250,5025,0.184,0.565,0.136,0.3,1370,4080,25.8,0.38,0.37,25065.0,360,924.6,4100.4,2839.1249999999995,683.4000000000001,5450,3800,0.14810810810810812,0.4410810810810811,0.41081081081081083,0.5891891891891892
WK036331,12625,7060,0.168,0.545,0.129,0.3,2200,5680,26.6,0.48,0.47,26944.0,337,1186.0800000000002,5873.92,3847.7000000000003,910.74,7880,4745,0.17425742574257425,0.4499009900990099,0.37584158415841584,0.6241584158415842
WK036332,10055,5260,0.19,0.585,0.105,0.4,1350,5285,23.3,1.29,0.94,10705.0,340,999.4,4260.6,3077.1,552.3,6635,3420,0.13426156141223272,0.5256091496767777,0.34012928891098954,0.6598707110890104
WK036333,18840,9550,0.085,0.322,0.308,0.6,3645,4135,38.7,3.81,1.54,12201.0,483,811.7500000000001,8738.25,3075.1,2941.4,7780,11060,0.19347133757961785,0.21947983014861996,0.5870488322717622,0.4129511677282378
WK036334,3650,2445,0.11,0.607,0.131,0.3,855,990,28.4,3.25,2.48,1476.0,235,268.95,2176.05,1484.115,320.295,1845,1805,0.23424657534246576,0.27123287671232876,0.4945205479452055,0.5054794520547945
WK036335,15460,6185,0.08900000000000001,0.297,0.354,0.7,2605,5380,33.5,1.27,1.12,13776.0,463,550.465,5634.535,1836.945,2189.49,7985,7475,0.1684993531694696,0.34799482535575677,0.4835058214747736,0.5164941785252264
WK036336,545,315,0.151,0.36700000000000005,0.278,0.9,140,85,,1.21,1.2,455.0,501,47.565,267.435,115.60500000000002,87.57000000000001,225,320,0.25688073394495414,0.1559633027522936,0.5871559633027523,0.41284403669724773
WK036337,18890,10335,0.16,0.537,0.127,0.4,3180,8230,26.3,1.09,1.02,18491.0,303,1653.6000000000001,8681.4,5549.895,1312.545,11410,7480,0.16834303864478561,0.43568025410269984,0.39597670725251455,0.6040232927474855
WK036338,5885,3385,0.09300000000000001,0.439,0.162,0.4,1165,1755,31.3,0.41,0.36,16230.0,315,314.80500000000006,3070.1949999999997,1486.015,548.37,2920,2965,0.1979609175870858,0.2982158028887001,0.5038232795242141,0.49617672047578587
WK036339,10160,5205,0.188,0.591,0.109,0.4,1310,6120,21.8,0.74,0.72,14100.0,283,978.54,4226.46,3076.1549999999997,567.345,7430,2730,0.12893700787401574,0.6023622047244095,0.2687007874015748,0.7312992125984252
WK036340,6815,4065,0.11599999999999999,0.48200000000000004,0.175,0.3,1545,1380,33.2,0.29,0.28,24739.0,363,471.53999999999996,3593.46,1959.3300000000002,711.375,2925,3890,0.22670579603815114,0.202494497432135,0.5707997065297139,0.42920029347028615
WK036341,7515,3395,0.182,0.593,0.1,0.4,1115,3660,26.7,0.29,0.29,26068.0,314,617.89,2777.11,2013.235,339.5,4775,2740,0.1483699268130406,0.4870259481037924,0.364604125083167,0.635395874916833
WK036342,10360,6060,0.156,0.5489999999999999,0.126,0.4,1920,3720,28.7,0.42,0.4,25958.0,318,945.36,5114.64,3326.9399999999996,763.5600000000001,5640,4720,0.18532818532818532,0.3590733590733591,0.4555984555984556,0.5444015444015444
WK036343,6920,4000,0.095,0.462,0.205,0.4,1540,1370,35.0,0.35,0.32,21732.0,393,380.0,3620.0,1848.0,820.0,2910,4010,0.22254335260115607,0.19797687861271676,0.5794797687861272,0.42052023121387283
WK036344,11810,7085,0.084,0.428,0.231,0.5,2775,1670,39.7,0.96,0.85,13918.0,408,595.14,6489.86,3032.38,1636.635,4445,7365,0.23497036409822183,0.14140558848433532,0.6236240474174428,0.3763759525825571
WK036345,3930,2510,0.11900000000000001,0.506,0.18100000000000002,0.4,965,765,39.1,0.35,0.29,13574.0,405,298.69,2211.31,1270.06,454.31000000000006,1730,2200,0.2455470737913486,0.1946564885496183,0.5597964376590331,0.4402035623409669
WK036346,5495,2645,0.071,0.273,0.455,0.7,1730,655,74.4,0.7,0.64,8611.0,1033,187.795,2457.205,722.085,1203.4750000000001,2385,3110,0.3148316651501365,0.1191992720655141,0.5659690627843494,0.4340309372156506
