BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03630000,1035,755,0.154,0.5529999999999999,0.11800000000000001,0.2,340,175,,0.08,0.06,17048.0,401,116.27,638.73,417.51499999999993,89.09,,0.16908212560386474
BU03630001,705,505,0.174,0.612,0.11800000000000001,0.2,250,110,,0.09,0.09,7989.0,419,87.86999999999999,417.13,309.06,59.59,,0.15602836879432624
BU03630002,1570,1105,0.152,0.594,0.11599999999999999,0.2,515,295,,0.07,0.06,25257.0,436,167.96,937.04,656.37,128.17999999999998,,0.18789808917197454
BU03630003,350,235,0.10300000000000001,0.473,0.204,0.4,125,35,,0.06,0.05,6584.0,577,24.205000000000002,210.795,111.155,47.94,,0.1
BU03630004,625,435,0.162,0.5820000000000001,0.14400000000000002,0.3,175,100,,0.1,0.08,7428.0,532,70.47,364.53,253.17000000000004,62.64000000000001,,0.16
BU03630100,0,0,,,,,5,0,,0.26,0.14,,,,,,,,
BU03630101,600,435,0.13,0.539,0.13699999999999998,0.3,235,100,,0.06,0.06,10874.0,416,56.550000000000004,378.45,234.465,59.59499999999999,,0.16666666666666666
BU03630102,465,335,0.14300000000000002,0.621,0.13699999999999998,0.2,185,100,,0.07,0.06,8443.0,401,47.90500000000001,287.09499999999997,208.035,45.894999999999996,,0.21505376344086022
BU03630103,805,560,0.134,0.539,0.14300000000000002,0.3,315,125,,0.06,0.05,16036.0,464,75.04,484.96,301.84000000000003,80.08000000000001,,0.15527950310559005
BU03630104,825,550,0.11199999999999999,0.516,0.145,0.3,315,140,,0.08,0.08,9797.0,419,61.599999999999994,488.4,283.8,79.75,,0.1696969696969697
BU03630105,730,520,0.141,0.5720000000000001,0.145,0.2,280,110,,0.07,0.06,12269.0,521,73.32,446.68,297.44000000000005,75.39999999999999,,0.1506849315068493
BU03630106,420,315,0.099,0.613,0.10300000000000001,0.2,130,75,,0.07,0.07,6004.0,413,31.185000000000002,283.815,193.095,32.445,,0.17857142857142858
BU03630107,265,185,0.06,0.449,0.205,0.2,110,35,,0.06,0.05,5052.0,551,11.1,173.9,83.065,37.925,,0.1320754716981132
BU03630200,1840,1160,0.075,0.379,0.314,0.5,565,155,,0.12,0.1,18959.0,777,87.0,1073.0,439.64,364.24,,0.08423913043478261
BU03630201,1810,1160,0.08,0.37799999999999995,0.336,0.5,645,230,,0.17,0.14,13306.0,837,92.8,1067.2,438.47999999999996,389.76000000000005,,0.1270718232044199
BU03630202,2035,1330,0.092,0.409,0.303,0.5,690,215,,0.2,0.16,12634.0,764,122.36,1207.64,543.9699999999999,402.99,,0.10565110565110565
BU03630203,685,445,0.083,0.389,0.342,0.5,210,85,,0.07,0.05,12828.0,919,36.935,408.065,173.10500000000002,152.19,,0.12408759124087591
BU03630300,810,500,0.08900000000000001,0.361,0.349,0.5,300,130,,0.09,0.08,10210.0,777,44.50000000000001,455.5,180.5,174.5,,0.16049382716049382
