node_id,x,y,unique_agency_id,route_type,stop_id,stop_name,parent_station,stop_code,wheelchair_boarding,zone_id,location_type,net_type
2324404_ns,4.76229965687,52.3092756221,ns,2.0,2324404,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2324404_ns_international,4.76229965687,52.3092756221,ns_international,2.0,2324404,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2323204_ns,4.9465700984,52.3124273972,ns,2.0,2323204,Amsterdam Bijlmer ArenA,stoparea:18187,,,IFF:asb,0,transit
2323227_ns,4.90025639534,52.3788477416,ns,2.0,2323227,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323237_ns,4.89966630936,52.3792930907,ns,2.0,2323237,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
14383_gvb,4.941746,52.334333,gvb,3.0,14383,"Duivendrecht, Burg. van Damstraat",stoparea:2283,00259,1.0,,0,transit
2323235_ns,4.90142047405,52.3786872838,ns,2.0,2323235,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323235_ns_international,4.90142047405,52.3786872838,ns_international,2.0,2323235,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323245_ns,4.93062436581,52.3604731752,ns,2.0,2323245,Amsterdam Muiderpoort,stoparea:18117,,,IFF:asdm,0,transit
2323222_ns_international,4.89998281002,52.3796500217,ns_international,2.0,2323222,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323222_ns,4.89998281002,52.3796500217,ns,2.0,2323222,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323541_ns,4.93721187115,52.3231437214,ns,2.0,2323541,Duivendrecht,stoparea:17781,,,IFF:dvd,0,transit
2324407_ns,4.76211190224,52.3093444979,ns,2.0,2324407,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2393383_gvb,4.967079,52.345669,gvb,3.0,2393383,"Amsterdam, Station Diemen",stoparea:380628,00264,,,0,transit
2393385_gvb,4.955741,52.296699,gvb,3.0,2393385,"Amsterdam, Paasheuvelweg",stoparea:380630,00452,,,0,transit
2393389_gvb,4.955056,52.296301,gvb,3.0,2393389,"Amsterdam, Paasheuvelweg",stoparea:380630,00451,,,0,transit
2323540_ns,4.93563741446,52.3234125799,ns,2.0,2323540,Duivendrecht,stoparea:17781,,,IFF:dvd,0,transit
2341334_gvb,4.867859,52.296696,gvb,0.0,2341334,"Amsterdam, Ouderkerkerlaan",stoparea:366384,07452,,,0,transit
2323224_ns,4.9001544714,52.3787069317,ns,2.0,2323224,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2324409_ns,4.76122677326,52.3087869293,ns,3.0,2324409,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2323217_ns,4.90165650845,52.3788903119,ns,2.0,2323217,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323217_ns_international,4.90165650845,52.3788903119,ns_international,2.0,2323217,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323208_ns,4.89943563938,52.3787986219,ns,2.0,2323208,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323266_ns,4.83813107014,52.3897804194,ns,2.0,2323266,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323229_ns,4.90130245686,52.3785071774,ns,2.0,2323229,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323956_ns,4.7517478466,52.3848333824,ns,2.0,2323956,Halfweg-Zwanenburg,stoparea:18248,,,IFF:hwzb,0,transit
2324700_ns,5.0432986021,52.3124044403,ns,2.0,2324700,Weesp,stoparea:18093,,,IFF:wp,0,transit
2323203_ns,4.94710922241,52.3125471012,ns,2.0,2323203,Amsterdam Bijlmer ArenA,stoparea:18187,,,IFF:asb,0,transit
14384_gvb,4.941557,52.334143,gvb,3.0,14384,"Duivendrecht, Burg. van Damstraat",stoparea:2283,00258,1.0,,0,transit
2323243_ns,4.93176162243,52.3606599071,ns,2.0,2323243,Amsterdam Muiderpoort,stoparea:18117,,,IFF:asdm,0,transit
2323250_ns,4.87283742295,52.33876177267,ns,2.0,2323250,Amsterdam Zuid,stoparea:18146,,,IFF:asdz,0,transit
2323539_ns,4.93732452393,52.3237256996,ns,2.0,2323539,Duivendrecht,stoparea:17781,,,IFF:dvd,0,transit
2032213_gvb,4.870529,52.31667,gvb,3.0,2032213,"Amsterdam, Kronenburg",stoparea:346519,07392,,,0,transit
2323275_ns,4.94931936264,52.352354489,ns,2.0,2323275,Amsterdam Science Park,stoparea:17952,,,IFF:assp,0,transit
2323254_ns,4.95991945267,52.2983066139,ns,2.0,2323254,Amsterdam Holendrecht,stoparea:18317,,,IFF:ashd,0,transit
2397840_ebs,4.950347,52.314565,ebs,3.0,2397840,"Amsterdam-ZO, Bijlmerplein",,57252790,,,0,transit
2323234_ns,4.89970386028,52.3793258368,ns,2.0,2323234,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323251_ns,4.8726940155,52.3388462517,ns,2.0,2323251,Amsterdam Zuid,stoparea:18146,,,IFF:asdz,0,transit
2323221_ns_international,4.90078747272,52.3793716813,ns_international,2.0,2323221,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323226_ns,4.90114688873,52.3783827399,ns,2.0,2323226,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323486_ns,4.9681928858726,52.3449306198873,ns,2.0,2323486,Diemen,stoparea:17928,,,IFF:dmn,0,transit
2324704_ns,5.04463970661,52.3125651388,ns,3.0,2324704,Weesp,stoparea:18093,,,IFF:wp,0,transit
2323210_ns,4.8997682333,52.3794404479,ns,2.0,2323210,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323210_ns_international,4.8997682333,52.3794404479,ns_international,2.0,2323210,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323219_ns,4.89989697933,52.3795550587,ns,2.0,2323219,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323957_ns,4.75182831287,52.3849643502,ns,2.0,2323957,Halfweg-Zwanenburg,stoparea:18248,,,IFF:hwzb,0,transit
2365732_gvb,4.805443,52.374797,gvb,3.0,2365732,"Amsterdam, Dr. H. Colijnstraat",stoparea:374703,03139,,,0,transit
2323268_ns,4.83841001987,52.3891616609,ns,2.0,2323268,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323080_ns,4.97637212276,52.2796556886,ns,2.0,2323080,Abcoude,stoparea:18040,,,IFF:ac,0,transit
2323214_ns,4.90158677101,52.3788215444,ns,2.0,2323214,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323214_ns_international,4.90158677101,52.3788215444,ns_international,2.0,2323214,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323209_ns,4.90058362484,52.3791490077,ns,2.0,2323209,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2324408_ns,4.76198852062,52.3093871352,ns,2.0,2324408,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2324408_ns_international,4.76198852062,52.3093871352,ns_international,2.0,2324408,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2324406_ns,4.76218700409,52.3093215393,ns,2.0,2324406,Schiphol Airport,stoparea:165460,,,IFF:shl,0,transit
2402524_connexxion,4.753814,52.379646,connexxion,3.0,2402524,"Zwanenburg, Tijdelijke halte Wilgenln",stoparea:357678,55230001,,CXX:55230001,0,transit
2402525_connexxion,4.754017,52.379791,connexxion,3.0,2402525,"Zwanenburg, Tijdelijke halte Wilgenln",stoparea:357678,55230002,,CXX:55230002,0,transit
2402527_connexxion,4.752031,52.374882,connexxion,3.0,2402527,"Zwanenburg, Tijdelijke halte De Olm",,55232120,,CXX:55232120,0,transit
2402529_connexxion,4.752224,52.374739,connexxion,3.0,2402529,"Zwanenburg, Tijdelijke halte De Olm",,55232470,,CXX:55232470,0,transit
2402563_connexxion,4.876597,52.369346,connexxion,3.0,2402563,"Amsterdam, Busstation Elandsgracht",stoparea:122141,57000070,,CXX:57000070,0,transit
2402576_connexxion,4.814598,52.383416,connexxion,3.0,2402576,"Amsterdam, A.Moddermanstraat",,57130180,,CXX:57130180,0,transit
2323079_ns,4.97653305531,52.2796917905,ns,2.0,2323079,Abcoude,stoparea:18040,,,IFF:ac,0,transit
2323271_ns,4.83841538429,52.3888473675,ns,2.0,2323271,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323225_ns,4.89927470684,52.379014748,ns,2.0,2323225,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323240_ns,4.83394682407,52.3578653983,ns,2.0,2323240,Amsterdam Lelylaan,stoparea:18184,,,IFF:asdl,0,transit
2323199_ns,4.91718113422,52.3465840076,ns,2.0,2323199,Amsterdam Amstel,stoparea:18186,,,IFF:asa,0,transit
2323220_ns,4.90169942379,52.3789328822,ns,2.0,2323220,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323252_ns,4.87268328667,52.3388904994,ns,2.0,2323252,Amsterdam Zuid,stoparea:18146,,,IFF:asdz,0,transit
2323232_ns,4.90121126175,52.3784449587,ns,2.0,2323232,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323213_ns,4.89978969097,52.3794699193,ns,2.0,2323213,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323211_ns,4.90154385567,52.378788798,ns,2.0,2323211,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2393390_gvb,4.96682,52.345165,gvb,3.0,2393390,"Amsterdam, Station Diemen",stoparea:380634,00265,,,0,transit
2323269_ns,4.83839929104,52.3890307056,ns,2.0,2323269,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323231_ns,4.89953756332,52.3791850285,ns,2.0,2323231,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323272_ns,4.83841001987,52.3887818894,ns,2.0,2323272,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323255_ns,4.95980143547,52.2982672465,ns,2.0,2323255,Amsterdam Holendrecht,stoparea:18317,,,IFF:ashd,0,transit
2323248_ns,4.87284709092,52.33865678403,ns,2.0,2323248,Amsterdam Zuid,stoparea:18146,,,IFF:asdz,0,transit
2324269_ns,4.88964542871666,52.337120863311,ns,2.0,2324269,Amsterdam RAI,stoparea:17974,,,IFF:rai,0,transit
2323246_ns,4.93040978909,52.3605092113,ns,2.0,2323246,Amsterdam Muiderpoort,stoparea:18117,,,IFF:asdm,0,transit
2323230_ns,4.90029394627,52.3788968612,ns,2.0,2323230,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2324270_ns,4.89025175571,52.3369271705,ns,2.0,2324270,Amsterdam RAI,stoparea:17974,,,IFF:rai,0,transit
2324702_ns,5.04354536533,52.3126274503,ns,2.0,2324702,Weesp,stoparea:18093,,,IFF:wp,0,transit
2323238_ns,4.9014633894,52.3787298543,ns,2.0,2323238,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323205_ns,4.94646012783,52.3123929618,ns,2.0,2323205,Amsterdam Bijlmer ArenA,stoparea:18187,,,IFF:asb,0,transit
2323273_ns,4.83559906483,52.3882646093,ns,2.0,2323273,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323267_ns,4.83841001987,52.389263151,ns,2.0,2323267,Amsterdam Sloterdijk,stoparea:18177,,,IFF:ass,0,transit
2323241_ns,4.83411043882,52.3578735888,ns,2.0,2323241,Amsterdam Lelylaan,stoparea:18184,,,IFF:asdl,0,transit
2323216_ns,4.89986479282,52.3795354111,ns,2.0,2323216,Amsterdam Centraal,stoparea:18188,,,IFF:asd,0,transit
2323202_ns,4.9471950531,52.312563499,ns,2.0,2323202,Amsterdam Bijlmer ArenA,stoparea:18187,,,IFF:asb,0,transit
